exposure,health_outcome,article_count,positive,negative,null,mixed,unclear
mercury,neurodevelopment,2,0,0,0,0,0
ozone (O3),autism spectrum disorder,2,0,0,0,0,0
ozone (O3),cancer,2,0,0,0,0,0
ozone (O3),kidney,2,0,0,0,0,0
particulate matter,cell viability; apoptosis-related signaling,2,0,0,0,0,0
particulate matter,major adverse kidney events,2,0,0,0,0,0
particulate matter,pyroptosis-related signaling,2,0,0,0,0,0
phthalate,fertility,2,0,0,0,0,0
phthalate,reproductive,2,0,0,0,0,0
urban tree canopy,mortality,2,0,0,0,0,0
wildfire smoke,immune,2,0,0,0,0,0
wildfire smoke,immune/inflammation,2,0,0,0,0,0
BPA,birth weight/fetal growth,1,0,0,0,0,0
BPA,cardiovascular,1,0,0,0,0,0
BPA,diabetes,1,0,0,0,0,0
BPA,mortality,1,0,0,0,0,0
BPA,pregnancy outcomes,1,0,0,0,0,0
BPA,reproductive,1,0,0,0,0,0
PFAS,cardiovascular disease mortality,1,0,0,0,0,0
PFAS,cell viability; vascular endothelial injury; necroptosis-related signaling; apoptosis-related signaling,1,0,0,0,0,0
PFAS,hypertension during pregnancy,1,0,0,0,0,0
PFAS,intestinal inflammation,1,0,0,0,0,0
PFAS,maternal/child health,1,0,0,0,0,0
PFOA,autism-related traits,1,0,0,0,0,0
PFOA,coronary inflammation / pericoronary fat attenuation index,1,0,0,0,0,0
PFOA,major adverse kidney events,1,0,0,0,0,0
PFOA,obesity,1,0,0,0,0,0
PFOA,respiratory,1,0,0,0,0,0
PFOS,intestinal inflammation,1,0,0,0,0,0
PFOS,major adverse kidney events,1,0,0,0,0,0
PFOS,obesity,1,0,0,0,0,0
PFOS,respiratory,1,0,0,0,0,0
PM10,autism spectrum disorder,1,0,0,0,0,0
PM10,fertility,1,0,0,0,0,0
PM10,major adverse kidney events,1,0,0,0,0,0
PM10,thyroid,1,0,0,0,0,0
PM2.5,autism-related traits,1,0,0,0,0,0
PM2.5,cell viability; apoptosis-related signaling,1,0,0,0,0,0
PM2.5,folate status,1,0,0,0,0,0
PM2.5,obesity,1,0,0,0,0,0
air pollution,cell viability; vascular endothelial injury; apoptosis-related signaling,1,0,0,0,0,0
air pollution,cellular toxicity / mechanistic outcome,1,0,0,0,0,0
air pollution,disease-specific mortality,1,0,0,0,0,0
arsenic,cardiovascular disease mortality,1,0,0,0,0,0
arsenic,cardiovascular mortality,1,0,0,0,0,0
arsenic,immune,1,0,0,0,0,0
arsenic,maternal blood pressure,1,0,0,0,0,0
arsenic,mortality,1,0,0,0,0,0
arsenic,preterm birth,1,0,0,0,0,0
black carbon,all-cause mortality,1,0,0,0,0,0
black carbon,cognition,1,0,0,0,0,0
black carbon,fertility,1,0,0,0,0,0
black carbon,immune,1,0,0,0,0,0
black carbon,kidney,1,0,0,0,0,0
black carbon,liver,1,0,0,0,0,0
cadmium,asthma,1,0,0,0,0,0
cadmium,cardiovascular mortality,1,0,0,0,0,0
cadmium,diabetes,1,0,0,0,0,0
cadmium,immune/inflammation,1,0,0,0,0,0
cadmium,kidney,1,0,0,0,0,0
cadmium,mortality,1,0,0,0,0,0
cadmium,preterm birth,1,0,0,0,0,0
glyphosate,birth weight,1,0,0,0,0,0
green space/greenness,cardiovascular disease mortality,1,0,0,0,0,0
green space/greenness,diabetes,1,0,0,0,0,0
green space/greenness,major adverse kidney events,1,0,0,0,0,0
green space/greenness,neurodevelopment,1,0,0,0,0,0
heat/temperature,apoptosis-related signaling,1,0,0,0,0,0
heat/temperature,cellular toxicity / mechanistic outcome,1,0,0,0,0,0
heat/temperature,kidney failure / kidney replacement therapy,1,0,0,0,0,0
heat/temperature,liver,1,0,0,0,0,0
heat/temperature,thyroid,1,0,0,0,0,0
lead,cardiovascular disease mortality,1,0,0,0,0,0
lead,cell viability,1,0,0,0,0,0
lead,diabetes,1,0,0,0,0,0
lead,kidney,1,0,0,0,0,0
lead,pregnancy outcomes,1,0,0,0,0,0
mercury,asthma,1,0,0,0,0,0
mercury,birth weight,1,0,0,0,0,0
mercury,immune/inflammation,1,0,0,0,0,0
mercury,mortality,1,0,0,0,0,0
microplastics,cardiovascular,1,0,0,0,0,0
microplastics,hypertension,1,0,0,0,0,0
microplastics,respiratory,1,0,0,0,0,0
nitrogen dioxide (NO2),autism-related traits,1,0,0,0,0,0
nitrogen dioxide (NO2),folate status,1,0,0,0,0,0
nitrogen dioxide (NO2),obesity,1,0,0,0,0,0
noise,autism spectrum disorder,1,0,0,0,0,0
noise,birth weight,1,0,0,0,0,0
noise,cancer,1,0,0,0,0,0
noise,cardiovascular mortality,1,0,0,0,0,0
noise,preterm birth,1,0,0,0,0,0
ozone (O3),cognition,1,0,0,0,0,0
ozone (O3),fertility,1,0,0,0,0,0
ozone (O3),immune,1,0,0,0,0,0
ozone (O3),liver,1,0,0,0,0,0
ozone (O3),major adverse kidney events,1,0,0,0,0,0
ozone (O3),neurodevelopment,1,0,0,0,0,0
particulate matter,coronary inflammation / pericoronary fat attenuation index,1,0,0,0,0,0
particulate matter,disease-specific mortality,1,0,0,0,0,0
particulate matter,kidney failure / kidney replacement therapy,1,0,0,0,0,0
particulate matter,obesity,1,0,0,0,0,0
phthalate,birth weight/fetal growth,1,0,0,0,0,0
phthalate,diabetes,1,0,0,0,0,0
phthalate,immune,1,0,0,0,0,0
phthalate,maternal blood pressure,1,0,0,0,0,0
phthalate,neurodevelopment,1,0,0,0,0,0
phthalate,preterm birth,1,0,0,0,0,0
phthalate,respiratory,1,0,0,0,0,0
urban tree canopy,birth weight,1,0,0,0,0,0
urban tree canopy,cardiovascular,1,0,0,0,0,0
urban tree canopy,preterm birth,1,0,0,0,0,0
wildfire smoke,autism spectrum disorder,1,0,0,0,0,0
wildfire smoke,cardiovascular mortality,1,0,0,0,0,0
wildfire smoke,fertility,1,0,0,0,0,0
wildfire smoke,major adverse kidney events,1,0,0,0,0,0
wildfire smoke,reproductive,1,0,0,0,0,0
